date,AAPL close,MSFT close
27/03/2015,123.25,40.97
30/03/2015,126.37,40.96
31/03/2015,124.43,40.655
01/04/2015,124.25,40.72
02/04/2015,125.32,40.29
06/04/2015,127.35,41.545
07/04/2015,126.01,41.53
08/04/2015,125.6,41.42
09/04/2015,126.56,41.48
10/04/2015,127.1,41.72
13/04/2015,126.85,41.76
14/04/2015,126.3,41.65
15/04/2015,126.78,42.255
16/04/2015,126.17,42.16
17/04/2015,124.75,41.615
20/04/2015,127.6,42.905
21/04/2015,126.91,42.635
22/04/2015,128.62,42.985
23/04/2015,129.67,43.34
24/04/2015,130.28,47.87
27/04/2015,132.65,48.03
28/04/2015,130.56,49.155
29/04/2015,128.64,49.06
30/04/2015,125.15,48.64
01/05/2015,128.95,48.655
04/05/2015,128.7,48.24
05/05/2015,125.8,47.6
06/05/2015,125.01,46.28
07/05/2015,125.26,46.7
08/05/2015,127.62,47.75
11/05/2015,126.32,47.37
12/05/2015,125.865,47.35
13/05/2015,126.01,47.625
14/05/2015,128.95,48.72
15/05/2015,128.77,48.295
18/05/2015,130.19,48.01
19/05/2015,130.07,47.58
20/05/2015,130.06,47.58
21/05/2015,131.39,47.42
22/05/2015,132.54,46.9
26/05/2015,129.62,46.59
27/05/2015,132.045,47.61
28/05/2015,131.78,47.45
29/05/2015,130.28,46.86
01/06/2015,130.535,47.23
02/06/2015,129.96,46.92
03/06/2015,130.12,46.85
04/06/2015,129.36,46.36
05/06/2015,128.65,46.14
08/06/2015,127.8,45.73
09/06/2015,127.42,45.65
10/06/2015,128.88,46.61
11/06/2015,128.59,46.44
12/06/2015,127.17,45.97
15/06/2015,126.92,45.475
16/06/2015,127.6,45.83
17/06/2015,127.3,45.97
18/06/2015,127.88,46.72
19/06/2015,126.6,46.1
22/06/2015,127.61,46.23
23/06/2015,127.03,45.91
24/06/2015,128.11,45.635
25/06/2015,127.5,45.65
26/06/2015,126.75,45.26
29/06/2015,124.53,44.37
30/06/2015,125.425,44.15
01/07/2015,126.6,44.445
02/07/2015,126.44,44.4
06/07/2015,126,44.39
07/07/2015,125.69,44.3
08/07/2015,122.57,44.24
09/07/2015,120.07,44.52
10/07/2015,123.28,44.61
13/07/2015,125.66,45.54
14/07/2015,125.61,45.62
15/07/2015,126.82,45.76
16/07/2015,128.51,46.66
17/07/2015,129.62,46.62
20/07/2015,132.07,46.92
21/07/2015,130.75,47.28
22/07/2015,125.22,45.54
23/07/2015,125.16,46.11
24/07/2015,124.5,45.94
27/07/2015,122.77,45.35
28/07/2015,123.38,45.34
29/07/2015,122.99,46.29
30/07/2015,122.37,46.88
31/07/2015,121.3,46.7
03/08/2015,118.44,46.81
04/08/2015,114.64,47.54
05/08/2015,115.4,47.58
06/08/2015,115.13,46.62
07/08/2015,115.52,46.74
10/08/2015,119.72,47.33
11/08/2015,113.49,46.41
12/08/2015,115.24,46.74
13/08/2015,115.15,46.73
14/08/2015,115.96,47
17/08/2015,117.16,47.32
18/08/2015,116.5,47.27
19/08/2015,115.01,46.61
20/08/2015,112.65,45.66
21/08/2015,105.76,43.07
24/08/2015,103.12,41.68
25/08/2015,103.74,40.47
26/08/2015,109.69,42.71
27/08/2015,112.92,43.9
28/08/2015,113.29,43.93
31/08/2015,112.76,43.52
01/09/2015,107.72,41.82
02/09/2015,112.34,43.36
03/09/2015,110.37,43.5
04/09/2015,109.27,42.61
08/09/2015,112.31,43.89
09/09/2015,110.15,43.07
10/09/2015,112.57,43.29
11/09/2015,114.21,43.48
14/09/2015,115.31,43.04
15/09/2015,116.28,43.98
16/09/2015,116.41,44.3
17/09/2015,113.92,44.25
18/09/2015,113.45,43.48
21/09/2015,115.21,44.11
22/09/2015,113.4,43.9
23/09/2015,114.32,43.87
24/09/2015,115,43.91
25/09/2015,114.71,43.94
28/09/2015,112.44,43.29
29/09/2015,109.06,43.44
30/09/2015,109.95,44.2
01/10/2015,109.58,44.61
02/10/2015,110.38,45.57
05/10/2015,110.78,46.63
06/10/2015,111.31,46.75
07/10/2015,110.78,46.8
08/10/2015,109.5,47.45
09/10/2015,112.12,47.11
12/10/2015,111.6,47
13/10/2015,111.79,46.89
14/10/2015,110.21,46.68
15/10/2015,111.86,47.01
16/10/2015,111.04,47.51
19/10/2015,111.73,47.62
20/10/2015,113.77,47.77
21/10/2015,113.76,47.2
22/10/2015,115.5,48.03
23/10/2015,119.08,52.87
26/10/2015,115.28,54.25
27/10/2015,114.55,53.69
28/10/2015,119.27,53.98
29/10/2015,120.53,53.36
30/10/2015,119.5,52.64
02/11/2015,121.18,53.24
03/11/2015,122.57,54.15
04/11/2015,122,54.4
05/11/2015,120.92,54.38
06/11/2015,121.06,54.92
09/11/2015,120.57,54.16
10/11/2015,116.77,53.51
11/11/2015,116.11,53.65
12/11/2015,115.72,53.32
13/11/2015,112.34,52.84
16/11/2015,114.175,53.765
17/11/2015,113.69,52.97
18/11/2015,117.29,53.85
19/11/2015,118.78,53.94
20/11/2015,119.3,54.19
23/11/2015,117.75,54.19
24/11/2015,118.88,54.25
25/11/2015,118.03,53.69
27/11/2015,117.81,53.93
30/11/2015,118.3,54.35
01/12/2015,117.34,55.22
02/12/2015,116.28,55.21
03/12/2015,115.2,54.2
04/12/2015,119.03,55.91
07/12/2015,118.28,55.81
08/12/2015,118.23,55.79
